id,name,maker,variant,type,thcPct,cbdPct
curaleaf-tripoli-20-1-flower,Tripoli,Curaleaf,,flower,20,1
upstate-crossbow-26-1-flower,Crossbow,Upstate,,flower,26,1
4clabs-gary-busey-30-1-flower,Gary Busey,4C Labs,,flower,30,1
ips-pharma-black-amber-32-1-flower,Black Amber,IPS Pharma,,flower,32,1
tyson-frozen-fist-26-0p1-flower,Frozen Fist,Tyson,,flower,26,0.1
4clabs-craft-khalifa-mints-24-1-flower,Khalifa Mints,4C Labs Craft,,flower,24,1
ttp-1-afc-25-1-flower,Animal Face,The Plug,,flower,25,1
pck-1packs-rs11-24-1-flower,RS-11,1Packs,,flower,24,1
hst-2-headstone-black-mountain-side-30-1-flower,Black Mountain Side,Headstone,,flower,30,1
vas-5-vasco-pave-runtz-28-1-flower,Pave Runtz,Vasco,,flower,28,1
4clabs-donkey-butter-31-1-flower,Donkey Butter,4C Labs,,flower,31,1
glass-pharms-super-mac-25-1-flower,Super M.A.C.,Glass Pharms,,flower,25,1
glass-pharms-first-class-funk-26-1-flower,First Class Funk,Glass Pharms,,flower,26,1
find-zookies-smalls-23-1-flower,Zookies,Find,smalls,flower,23,1
curaleaf-lavender-cake-20-1-flower,Lavender Cake,Curaleaf,,flower,20,1
ips-pharma-kings-kush-24-1-flower,King's Kush,IPS Pharma,,flower,24,1
lit-snow-lotus-34-1-flower,Snow Lotus,LIT,,flower,34,1
dalgety-high-society-30-1-flower,High Society,Dalgety,,flower,30,1
medcan-isando-22-1-flower,Isando,Medcan,,flower,22,1
aurora-pedanios-ghost-train-haze-22-1-flower,Ghost Train Haze,Aurora Pedanios,,flower,22,1
tilray-headband-22-1-flower,Headband,Tilray,,flower,22,1
together-pharma-royal-moby-25-1-flower,Royal Moby,Together Pharma,,flower,25,1
grow-pharma-hellfire-og-24-1-flower,Hellfire OG,Grow Pharma,,flower,24,1
four20-pharma-pink-diesel-smalls-25-0p1-flower,Pink Diesel,Four20 Pharma,smalls,flower,25,0.1
four20-pharma-pink-diesel-26-0p1-flower,Pink Diesel,Four20 Pharma,,flower,26,0.1
medcan-strawberry-cheesecake-22-1-flower,Strawberry Cheesecake,Medcan,,flower,22,1
aurora-pedanios-la-confidential-24-1-flower,LA Confidential,Aurora Pedanios,,flower,24,1
tilray-sour-diesel-25-1-flower,Sour Diesel,Tilray,,flower,25,1
grow-pharma-gelato-33-1-flower,Gelato 33,Grow Pharma,,flower,25,1
